brand,model,price,weight,core_thickness_mm,grip_length,rpm,shape,face_material,core_material,swing_weight,twist_weight,year
Electrum,Pro II Stealth,219.99,342,5.25,12,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,95,5.09,
Electrum,Model E Elite,199.99,186,5.25,16,4.5,Elongated,Raw carbon fiber,Polymer Honeycomb,122,7.04,
Electrum,Model E 13mm,159.99,122,5.25,13mm,4.5,Elongated,Raw carbon fiber,Polymer Honeycomb,111,5.87,
Electrum,Model E 16mm,179.99,89,"5.25""",16mm,4.5,Elongated,Raw carbon fiber,Polymer Honeycomb,117,6.33,
Electrum,Pro II,199.99,39,"5.50""",11mm,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,123,7.25,
Engage,Pursuit Pro1 Widebody,259.99,559,,,,,,,,,
Engage,Pursuit Pro1 Hybrid,259.99,558,,13,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,103,5.78,
Engage,Pursuit Pro Innovation 15.2mm,279.99,549,6,15.2,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,125,6.29,
Engage,Pursuit Pro Innovation 12.7mm,279.99,548,6,12.7,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,125,5.93,
Engage,Pursuit v2.0,179.99,471,5.3,15.2,4.25,Hybrid,Raw carbon fiber,Polymer Honeycomb,113,6.32,
Engage,Evolution Aero,139.99,470,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,104,5.8,
Engage,Encore Pro v2 12.7,99.99,469,5.4,12.7,4.25,Hybrid,Fiberglass,Polymer Honeycomb,106,5.79,
Engage,Encore Pro v2 15.2,99.99,468,5.4,15.3,4.25,Hybrid,Fiberglass,Polymer Honeycomb,105,6,
Engage,Pursuit Pro1 (Lite),259.99,371,5.875,13,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,107,5.52,
Engage,Pursuit Pro1 (Mid weight),259.99,370,5.875,13,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,110,5.66,
